Nom,Endroit,Date,Valeur,Type subvention,Objectif,Observations
Aboriginal Head Start Association of British Columbia,"Cobble Hill, COLOMBIE-BRITANNIQUE, CANADA",10/05/2016,"1225 494,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 200 494,00 $"
Aboriginal Health & Wellness Centre of Winnipeg Inc.,,12/15/2016,"1962 154,00 $",Contribution,,"Modification à l'octroi précédent de 1 947 817,00 $"
Beauval Aboriginal Headstart Inc.,"Beauval, SASKATCHEWAN, CANADA",12/02/2016,"1008 858,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 988 335,00 $"
BOYS AND GIRLS CLUBS OF CANADA/LES REPAIRES JEUNESSE DU CANADA,"Toronto, ONTARIO, CANADA",10/24/2016,"4994 123,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
BOYS AND GIRLS CLUBS OF CANADA/LES REPAIRES JEUNESSE DU CANADA,"Toronto, ONTARIO, CANADA",09/19/2016,"1798 315,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 797 664,00 $"
Brock University,"St. Catharines, ONTARIO, CANADA",09/19/2016,"420 536,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 415 206,00 $"
Children's Hospital of Eastern Ontario Research Institute Inc.,"Ottawa, ONTARIO, CANADA",10/11/2016,"293 996,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Covenant House Toronto,,09/16/2016,"1262 310,00 $",Contribution,,"Modification à l'octroi précédent de 1 260 526,00 $"
C.D. Howe Institute,"Toronto, ONTARIO, CANADA",10/20/2016,"197 950,00 $",Subvention,Promotion de la santé et lutte contre la maladie,
Earlscourt-Creche Child Development Institute,Toronto (Ontario) CANADA,09/20/2016,"1582 297,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 569 225,00 $"
Fort Erie Native Friendship Centre,"Fort Erie, ONTARIO, CANADA",03/13/2015,"543 060,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 181 020,00 $"
Fort Erie Native Friendship Centre,"Fort Erie, ONTARIO, CANADA",12/22/2016,"1167 186,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 160 799,00 $"
FOXY,"YellowKnife, NORTHWEST TERRITORIES, CANADA",10/05/2016,"1275 466,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Grande Prairie Friendship Centre,"Grande Prairie, ALBERTA, CANADA",12/01/2016,"2288 171,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 228 592,00 $"
Hay River Dene Reserve District Education Authority,"Hay River, TERRITOIRES DU NORD-OUEST, CANADA",11/21/2016,"601 365,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 541 365,00 $"
KAWARTHA SEXUAL ASSAULT CENTRE,"Peterborough, ONTARIO, CANADA",10/04/2016,"464 983,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
KENORA ANISHINAABE-KWEG ABORIGINAL WOMEN'S ORGANIZATION,"KENORA, ONTARIO, CANADA",12/19/2016,"1091 731,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 076 250,00 $"
McMaster University,Hamilton (Ontario) CANADA,08/30/2016,"5671 182,00 $",Contribution,"L'infrastructure de la santé publique
Promotion de la santé et lutte contre la maladie","Modification à l'octroi précédent de 5 289 830,00 $"
Nova Scotia,"Halifax, NOVA SCOTIA",03/22/2014,"1280 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 640 000,00 $"
Nova Scotia,"Halifax, NOVA SCOTIA",03/18/2016,"2480 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 280 000,00 $"
BOOST CHILD & YOUTH ADVOCACY CENTRE,"Toronto, ONTARIO, CANADA",07/20/2016,"1140 736,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
BOOST CHILD & YOUTH ADVOCACY CENTRE,"Toronto, ONTARIO, CANADA",09/19/2016,"1144 838,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 140 736,00 $"
British Columbia,"Vancouver, BRITISH COLUMBIA, CANADA",01/28/2016,"2000 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 040 000,00 $"
CAPSANA,"Montreal, QUEBEC, CANADA",08/02/2016,"869 036,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
